model,feature,importance
Random Forest,total_usage_duration_secs,0.0926610417043892
Random Forest,total_usage_count,0.07907761422965429
Random Forest,usage_event_count,0.07894638710464572
Random Forest,unique_features_used,0.07453687622403576
Random Forest,total_error_count,0.06408822925878241
Random Forest,subscription_count,0.040940011213069186
Random Forest,tickets_per_usage,0.028721236713140072
Random Forest,account_activity_score,0.027930216329255214
Random Forest,account_age_days,0.024818010531947005
Random Forest,beta_feature_rate,0.024137310637661002
Random Forest,error_rate,0.022224735593882484
Random Forest,avg_error_count,0.018205790139375785
Random Forest,total_arr,0.017098743354891702
Random Forest,seats,0.017071154946010098
Random Forest,errors_per_day,0.01671687080814334
Random Forest,tickets_per_feature,0.01642015344490758
Random Forest,max_seats,0.01544868070696029
Random Forest,avg_usage_duration_secs,0.015107699146865163
Random Forest,avg_resolution_hours,0.015074629675946107
Random Forest,usage_per_day,0.014896335523635234
Random Forest,avg_usage_count,0.014850547795565513
Random Forest,avg_satisfaction_score,0.0145028671837856
Random Forest,monthly_billing_rate,0.014274489603638347
Random Forest,avg_seats,0.013932765223904109
Random Forest,max_resolution_hours,0.01357120197464467
Random Forest,annual_billing_rate,0.013474560046903422
Random Forest,avg_first_response_minutes,0.013118006512409018
Random Forest,ticket_count,0.013085833993564203
Random Forest,urgent_ticket_rate,0.012469480129379519
Random Forest,auto_renew_rate,0.012234773081775868
Random Forest,trial_rate,0.011756192692124957
Random Forest,max_arr,0.011409534049769932
Random Forest,duration_per_month,0.010898747358191263
Random Forest,tickets_per_month,0.010704246524604562
Random Forest,avg_mrr,0.010424187021269644
Random Forest,max_mrr,0.010137441019708477
Random Forest,avg_arr,0.010046212674626067
Random Forest,arr_per_subscription,0.008614147221375339
Random Forest,referral_source_event,0.007609233379244091
Random Forest,medium_priority_ticket_rate,0.007344325288989304
Random Forest,low_priority_ticket_rate,0.007101187693656986
Random Forest,min_satisfaction_score,0.006394501135924648
Random Forest,escalation_rate,0.006155200688182183
Random Forest,high_priority_ticket_rate,0.0059337498963231506
Random Forest,plan_tier_Basic,0.003744560328804499
Random Forest,industry_FinTech,0.003262155362777624
Random Forest,plan_tier_Pro,0.0030872950426738353
Random Forest,referral_source_other,0.0022930913155684916
Random Forest,referral_source_organic,0.002286046640693877
Random Forest,industry_Cybersecurity,0.0021985070246369216
Random Forest,referral_source_partner,0.0020990779279111546
Random Forest,has_escalation,0.0020387079035778096
Random Forest,industry_DevTools,0.001908444323969127
Random Forest,plan_tier_Enterprise,0.0016054527598391931
Random Forest,is_trial,0.0014753042694274387
Random Forest,country_US,0.001394951395954403
Random Forest,industry_HealthTech,0.0012713938948066695
Random Forest,has_downgrade,0.0012289496681547117
Random Forest,industry_EdTech,0.0012002550566775736
Random Forest,country_UK,0.0010495192133614581
Random Forest,country_IN,0.0009600808953915947
Random Forest,referral_source_ads,0.000901402828929665
Random Forest,country_DE,0.0007247585352928472
Random Forest,has_upgrade,0.0005228451619437065
Random Forest,country_FR,0.00018160037206208486
Random Forest,country_CA,0.00017803406677999428
Random Forest,country_AU,0.00015217031086588664
Random Forest,has_usage,7.023622314093123e-05
